,key,val_accuracy,train_accuracy,depth,optimizer,lay_%dropout,lay_%gru,lay_%lstm,lay_%bgru,lay_%blstm,lay_%dense,lay_%conv1d,lay_%cl2d,lay_%pool,window_size,overlap%,batch_size,avg_num_nodes
0,BidirectionalGRU,1.0,0.8395061492919922,4,RMSprop,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,50,25,16,336
1,BidirectionalGRU,1.0,0.7839506268501282,6,adam,0.16666666666666666,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,50,25,16,262
2,BidirectionalGRU,1.0,0.8333333730697632,4,adam,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,50,25,16,336
3,BidirectionalGRU,1.0,0.8086420297622681,4,RMSprop,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,50,25,16,275
4,BidirectionalGRU,1.0,0.9074074029922485,5,adam,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,200,25,64,300
5,BidirectionalGRU,1.0,0.8888888955116272,4,RMSprop,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,200,25,64,350
6,BidirectionalGRU,1.0,0.9567900896072388,4,adam,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,200,25,64,350
7,BidirectionalGRU,1.0,0.9259259700775146,5,RMSprop,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,200,25,16,300
8,BidirectionalGRU,1.0,0.8395061492919922,4,RMSprop,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,200,25,16,275
9,BidirectionalGRU,1.0,0.9074074029922485,4,RMSprop,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,200,25,16,275
10,BidirectionalGRU,1.0,0.8827160596847534,4,RMSprop,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,400,25,64,275
11,BidirectionalGRU,1.0,0.8456790447235107,7,RMSprop,0.14285714285714285,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.0,400,25,64,210
12,BidirectionalGRU,1.0,0.7839506268501282,6,adam,0.16666666666666666,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,400,25,64,312
13,BidirectionalGRU,1.0,0.8703703880310059,4,RMSprop,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,400,25,64,275
14,BidirectionalGRU,1.0,0.9074074029922485,5,adam,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,400,25,64,300
15,BidirectionalGRU,1.0,0.989130437374115,3,adam,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,200,0,256,500
16,BidirectionalGRU,1.0,0.9927536249160767,4,adam,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,200,0,256,366
17,BidirectionalGRU,1.0,0.9882246255874634,3,adam,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,200,0,256,500
18,BidirectionalGRU,1.0,0.9827898740768433,5,RMSprop,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,200,0,256,300
19,BidirectionalGRU,0.9886363744735718,0.9900362491607666,7,RMSprop,0.14285714285714285,0.0,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.0,200,0,256,225
20,BidirectionalGRU,0.9886363744735718,0.9855072498321533,5,RMSprop,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,200,0,256,300
21,BidirectionalGRU,0.9886363744735718,0.9923007488250732,4,adam,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,200,0,256,366
